测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1037-toolEl
二级目录名称,ByXPath,.//a[@target = 'mainFrame'][text()='禁限用物质豁免分析']
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
车型名称输入框,ById,mname-inputEl
创建时间起点输入框,ById,fromTime-inputEl
创建时间终点输入框,ById,toTime-inputEl
品牌名称输入框,ById,bname-inputEl
检索按钮,ById,button-1011-btnEl
第一页确定按钮,ById,gotoBomPage-btnEl
第一页刷新按钮,ById,button-1038
第一页按钮,ById,button-1024-btnEl
上一页按钮,ById,button-1025-btnEl
下一页按钮,ById,button-1031-btnEl
最后页按钮,ById,button-1032-btnEl
页码显示及输入框,ById,numberfield-1028-inputEl
页码总数显示,ById,tbtext-1029
换页载入界面,ById,loadmask-1041
快速提示信息,ById,ext-quicktips-tip
检索结果所有行,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr
检索结果第一行车型中文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[4]/div
检索结果第一行车型英文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[5]/div
检索结果第一行品牌中文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[2]/div
检索结果第一行品牌英文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[3]/div
检索结果第一行生产年份,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[7]/div
开始时间早于结束时间错误信息,ById,messagebox-1001-displayfield-inputEl
载入界面,ById,maskload
第二页返回按钮,ById,button-1011-btnEl
第二页导出有害物质清单按钮,ById,button-1012-btnEl
第二页取消标注按钮,ById,removeMark-btnEl
第二页有害标注按钮,ById,openMarkWin-btnEl
第二页弹窗确认按钮,ById,button-1005-btnEl
第二页弹窗是按钮,ById,button-1006-btnEl
第二页弹窗否按钮,ById,button-1007-btnEl
有害标注页面的有害标注按钮,ById,markOne-btnEl
有害标注页面节点中文名称输入框,ByXPath,.//*[@id='winMark-body']/table/tbody[1]/tr/td[2]/input
有害标注页面节点有害标注信息输入框,ByXPath,.//*[@id='winMark-body']/table/tbody[4]/tr/td[2]
有害标注页面的有害标注信息选择输入框,ById,markCombo-inputEl
有害标注信息为减震器,ByXPath,.//*[@id='boundlist-1070']/div/ul/li[3]
检索树形图所有行,ByXPath,.//*[@id='treeview-1018']/table/tbody/tr
BOM树形刷新按钮,ById,button-1022-btnEl
BOM树形展开按钮,ById,expandAllTree-btnEl
BOM树形关闭按钮,ById,button-1023-btnEl
BOM树形查找按钮,ById,button-1021-btnEl
BOM树形前方加号按钮,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div/img[1]
BOM树形前方减号按钮,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div/img[1]
BOM树形图第一个子节点,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[3]/td/div
定位页面中的搜索按钮,ById,btn_search-btnEl
定位页面中的取消按钮,ById,btn_cancel-btnEl
定位页面中的节点名称输入框,ById,mainform_mdsname-inputEl
定位页面中的供货编号输入框,ById,mainform_itemnum-bodyEl
车型BOM所有行,ByXPath,.//*[@id='treeview-1018']/table/tbody/tr
进度条加载界面,ById,messagebox-1001-displayfield-labelCell
,,
节点信息所有行,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr
节点信息表中的节点中文名称,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[2]/td[1]/div
节点信息表中的节点英文名称,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[2]/td[2]/div
节点信息表中的供货编号,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[2]/td[3]/div
提示信息确定按钮,ById,button-1005
车型信息第一行,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[3]
