测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,treepanel-1026_header_hd-textEl
二级目录名称,ByXPath,.//*[@id='treeview-1029']/table/tbody/tr[3]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
编辑按钮,ById,editbutton
查看按钮,ById,viewbutton
第一页提示框最外层,ById,messagebox-1001
第一页提示信息,ById,messagebox-1001-displayfield-inputEl
第一页提示框确认按钮,ById,button-1005-btnEl
第一页提示框右上角关闭按钮,ById,tool-1039-toolEl
,,
检索结果表格,ByXPath,html/body/div[2]/div[3]/div/table/tbody
检索结果所有行,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr
检索结果第一行勾选框,ByXPath,".//div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[1]/div/div"
检索结果第一行序号,ByXPath,".//div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[2]/div"
检索结果第一行标题,ByXPath,".//div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[3]/div"
检索结果第一行内容,ByXPath,".//div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[4]/div"
检索结果第一行时间,ByXPath,".//div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[5]/div"
检索结果第一行状态,ByXPath,".//div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[6]/div"
,,
编辑窗口保存按钮,ByXPath,html/body/table/tbody/tr/td/div/div[2]/div/div/div[1]/em/button
编辑窗口关闭按钮,ById,button-1042-btnEl
,,
标题输入框,ByXPath,html/body/div[1]/div[2]/table/tbody/tr/td[1]/table/tbody/tr/td[2]/input
检索按钮,ByXPath,html/body/div[1]/div[2]/table/tbody/tr/td[4]/div/em/button
,,
起始时间输入框,ById,noticeStartTimeTextField-inputEl
终止时间输入框,ById,noticeEndTimeTextField-inputEl
检索结果第一行创建时间,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr[2]/td[5]/div
发布按钮,ById,publishbutton
loading,ById,loadmask-1037-msgEl
发布是按钮,ByXPath,html/body/div[8]/div[3]/div/div/div[2]/em/button
发布确定按钮,ByXPath,html/body/div[8]/div[3]/div/div/div[1]/em/button
已发布确定按钮,ByXPath,html/body/div[8]/div[3]/div/div/div[1]/em/button
退出,ByXPath,html/body/div/div/table/tbody/tr/td/ul/li[4]/a
,,
删除按钮,ByXPath,.//*[@id='delbutton-btnEl']
删除是按钮,ByXPath,.//*[@id='button-1006-btnEl']
删除确定按钮,ByXPath,.//*[@id='button-1005-btnEl']
,,
下一页按钮,ByXPath,.//*[@id='button-1026-btnEl']
最后页按钮,ByXPath,.//*[@id='button-1027-btnEl']
页码显示及输入框,ByXPath,.//*[@id='pagingtool-innerCt']/div/table/tbody/tr/td[2]/table/tbody/tr/td/input
页码总数显示,ByXPath,.//*[@id='tbtext-1024']
换页载入界面,ById,loadmask-1041
快速提示信息,ById,ext-quicktips-tip
