测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,treepanel-1014_header_hd
二级目录名称,ByXPath,html/body/div/div[2]/div/div/div[2]/div[3]/div/table/tbody/tr[5]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
BOM名称输入框,ById,bname-inputEl
供货编号输入框,ById,symbol-inputEl
创建时间起始,ById,fromTime-inputEl
创建时间截止,ById,toTime-inputEl
检索键,ById,button-1011-btnEl
检索结果第一行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]
检索结果所有行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr
检索结果第一行产品名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[3]/div
检索结果第一行外文名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[4]/div
检索结果第一行供货编号,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[5]/div
检索结果第一行时间,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[6]/div
Loading框,ById,loadmask-1042
时间错误提示,ById,messagebox-1001-displayfield-inputEl
时间错误提示确定键,ById,button-1005-btnEl
查看BOM键,ById,button-1037-btnEl
树形图根节点,ByXPath,html/body/div[1]/div/div[1]/div[2]/div/div[3]/div/table/tbody/tr[2]
树形图所有行,ByXPath,html/body/div[1]/div/div[1]/div[2]/div/div[3]/div/table/tbody/tr
导出键,ById,exportButton-btnEl
返回键,ById,returnButton-btnEl
未选择信息错误提示,ById,messagebox-1001-displayfield-inputEl
未选择信息错误提示确定键,ById,button-1005-btnEl
树形图根节点左侧加号,ByXPath,html/body/div[1]/div/div[1]/div[2]/div/div[3]/div/table/tbody/tr[2]/td/div/img[1]
查看BOM子页面查找树键,ByXPath,html/body/div[1]/div/div[1]/div[2]/div/div[1]/div[1]/div/div[7]/em/button
查看BOM子页面查找树框名称,ById,mainform_mdsname-inputEl
查看BOM子页面查找树框部件号,ById,mainform_itemnum-inputEl
查看BOM子页面查找树框ID编号,ById,mainform_mdsid-inputEl
查看BOM子页面查找树框查找键,ById,button-1045-btnEl
查看BOM子页面查找树框取消键,ById,button-1046-btnEl
查看BOM子页面节点信息中文名称,ByXPath,html/body/div[1]/div/div[3]/div[2]/div/div[2]/div[1]/div/div[1]/div[3]/div/table/tbody/tr[2]/td[1]/div
查看BOM子页面节点信息ID,ByXPath,html/body/div[1]/div/div[3]/div[2]/div/div[2]/div[1]/div/div[1]/div[3]/div/table/tbody/tr[2]/td[2]/div
查看BOM子页面节点信息供货编号,ByXPath,html/body/div[1]/div/div[3]/div[2]/div/div[2]/div[1]/div/div[1]/div[3]/div/table/tbody/tr[2]/td[3]/div
查看BOM子页面查找树框,ById,window-1053
查看BOM子页面打开树键,ByXPath,html/body/div[1]/div/div[1]/div[2]/div/div[1]/div[1]/div/div[5]/em/button
查看BOM子页面关闭树键,ByXPath,html/body/div[1]/div/div[1]/div[2]/div/div[1]/div[1]/div/div[6]/em/button
整体匹配键,ById,matchButton-btnEl
匹配结果键,ById,MatchresuleButton-btnEl
匹配结果子页面下载数据键,ById,button-1036-btnEl
匹配结果子页面发送键,ById,button-1035-btnEl
匹配结果子页面关闭键,ById,button-1037-btnEl
匹配结果子页面未选择提示框,ByXPath,"//div[contains(@class, 'x-message-box') and not(contains(@class,'x-hide-offsets'))]"
匹配结果子页面未选择提示框确定键,ByXPath,"//div[contains(@class, 'x-message-box') and not(contains(@class,'x-hide-offsets'))]/div[last()]//button"
匹配结果子页面表格第一行,ByXPath,html/body/div[1]/div[4]/div/table/tbody/tr[2]
匹配结果子页面表格第一行状态,ByXPath,html/body/div[1]/div[4]/div/table/tbody/tr[2]/td[8]/div
页面标题,ByXPath,html/body/div[1]/div[1]/div/div/div/div/span
匹配结果子页面返回键,ByXPath,//span[text()='返回']
新增BOM键,ById,button-1036-btnEl
body,ById,ext-gen1018
新增BOM子页面查找树键,ByXPath,html/body/div[1]/div/div[1]/div[2]/div/div[1]/div[1]/div/div[7]/em/button
新增BOM子页面查找树框名称,ById,mainform_mdsname-inputEl
新增BOM子页面查找树框部件号,ById,mainform_itemnum-inputEl
新增BOM子页面查找树框ID编号,ById,mainform_mdsid-inputEl
新增BOM子页面查找树框查找键,ById,button-1045-btnEl
新增BOM子页面查找树框取消键,ById,button-1046-btnEl
新增BOM子页面新增键,ById,addtbar-btnEl
新增BOM子页面删除键,ById,deletetbar-btnEl
新增BOM子页面挂接键,ById,matchtbar-btnEl
新增BOM子页面修改键,ById,edittbar-btnEl
新增BOM子页面新增框名称,ById,editText-inputEl
新增BOM子页面新增框供货编号,ById,editcsymbol-inputEl
新增BOM子页面新增框责任人,ById,responsibleName-inputEl
新增BOM子页面新增框确定键,ByXPath,//div[@id='winMark']/div[3]/div/div/div[1]//button
新增BOM子页面新增框取消键,ByXPath,//div[@id='winMark']/div[3]/div/div/div[2]//button
新增BOM子页面新增框质量,ById,editweight-inputEl
新增BOM子页面新增框数量,ById,editquarity-inputEl
修改BOM键,ById,button-1038-btnEl
修改未选择错误提示,ByXPath,//div[@id='messagebox-1001']
修改未选择错误提示确定键,ByXPath,//div[@id='messagebox-1001']/div[last()]//button
检索结果第一行MDS状态,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[7]/div
BOM树形标签,ByXPath,html/body/div[1]/div/div[1]/div[1]/div/div/div/div/span
保存键,ById,saveButton-btnEl
挂接子页面查找键,ById,button-1014-btnEl
挂接子页面表格第一行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]
挂接子页面确定键,ById,button-1041-btnEl
树形图选中行,ByXPath,"//tr[contains(@class, 'x-grid-row-selected')]"
挂接子页面表格第一行产品名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[6]/div
上一页,ById,button-1023-btnEl
下一页,ById,button-1029-btnEl
第一页,ById,button-1022-btnEl
最后一页,ById,button-1030-btnEl
总页数,ById,tbtext-1027
页码输入框,ById,numberfield-1026-inputEl
表格第一行序号,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[2]/div
右下角数量提示,ById,tbtext-1034
删除节点确定键,ByXPath,//div[@id='messagebox-1001']/div[last()]/div/div/div[2]//button
删除节点取消键,ByXPath,//div[@id='messagebox-1001']/div[last()]/div/div/div[3]//button
删除键,ById,button-1039-btnEl
未选择信息确定键,ByXPath,//div[@id='messagebox-1001']/div[last()]/div/div/div[1]//button
